,name,latitude,longitude,type
0,Aeroport de Paris Aeroport d'Orly,48.72873,2.363923,"{'typepoint': {'type': 'Point', 'coordinates': [48.72873, 2.363923]}}"
1,Paris Charles de Gaulle Airport (CDG) (Aéroport Paris-Charles de Gaulle),49.003773,2.570759,"{'typepoint': {'type': 'Point', 'coordinates': [49.003773, 2.570759]}}"
